object_number,title,format,description,subheadline,text,google_drive_link,video_url,sound_url,external_url,production,photographer_credit,date,people,tags,is_featured
44,"Quote 44",Quote,"""For me, there's an interesting feedback loop with Kneehigh...""",,"For me, there's an interesting feedback loop with Kneehigh. I watched Kneehigh and was influenced by Kneehigh and then wrote my own stuff. Then there's quite possibly my writing influence on Kneehigh. Working with Mike on Dead Dog in a Suitcase, we didn't really discuss the show on a deeper level very often. We spoke more about Breaking Bad, and other things we were watching, reading, stumbling across, everyday inspirations. I’m writing for people I know, we’ve explored stuff together before so there’s a sort of shorthand.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFHU,,,,"Dead Dog in a Suitcase",,,"Giles King",,no
45,"Quote 45",Quote,"""I just don't think I would have been able...""",,"I just don't think I would have been able to make any of the vaguely interesting work that I've been able to make without what I learned from working with Kneehigh.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFHc,,,,Miscellaneous,,,"Tom Morris",,no
46,"Quote 46",Quote,"""King of Prussia was essentially brandy smuggling back...""",,"King of Prussia was essentially brandy smuggling back in the 1800s and it felt very relevant to Kneehigh, because there was a lot of political intrigue, as it were, within the writing of the show, which is Nick Darke in a nutshell. It’s not just about a Poldark-style show about brandy smuggling. There's a lot more to it with references to modern politics and that side of it. It felt very poignant for us to do it.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFHg,,,,"The King of Prussia",,,"Giles King",,no
47,"Quote 47",Quote,"""At the time, I was really inspired by Bruno Bettelheim’s book...""",,"At the time, I was really inspired by Bruno Bettelheim’s book, The Uses of Enchantment (1976). He was a Holocaust survivor, and he had a thesis - which has now been discredited - that fairy stories are therapeutic: we tell them, and they come to us at times when we need them. I was interested in the trauma that Bruno Bettelheim had felt in the camps, and the thought that stories might actually be plugging into something really dark.  I felt that The Red Shoes was really dark, and my process and my mind was much less formed than it is now, but in many ways, it was all the richer for it. But I knew that I wanted all the storytellers to have shaved heads, and I knew that I wanted them in underwear, and I knew that I wanted them in clogs, and I knew that I wanted my storyteller to be  this amazing drag queen, Lady Lydia…. and that underneath she was the same: that the wig would come off and there'd be a shaved head underneath.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFHo,,,,"The Red Shoes",,,"Emma Rice",,no
48,"Quote 48",Quote,"""The show was created in the early days...""",,"This show was created in the early days of Emma and Stu Barker’s working relationship and was mainly soundtracked: Wagner, Offenbach, Jurassic Five etc. The production was managed by the uber-efficient Alex Wardle at the start of his five-year stay with Kneehigh. It was an extraordinary, brave and distinctive show which was coolly reviewed by Kneehigh faithful, but subsequently really took off and heralded the brilliant new era of Emma Rice’s directing.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFiVkqso,,,,"The Red Shoes",,,"Mike Shepherd",,no
49,"Quote 49",Quote,"""The chorus in The Red Shoes were a chorus...""",,"The chorus in The Red Shoes were a chorus who’d seen things we should never have seen and done things we should never have done. We mingled with the audience. Before we started, we were barefoot, and we were just in underwear, and the first thing that we did when we went on stage was to very carefully wash and dry our feet.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFJ8,,,,"The Red Shoes",,,"Mike Shepherd",,no
50,"Quote 50",Quote,"""I just thought, I wonder what happens if the Chorus...""",,"I just thought, I wonder what happens if the Chorus are  like bird watchers but they’re looking at love? I remember suggesting  everybody put on a funny balaclava and anoraks and start looking for signs of love, and I swear by that point, there was only three weeks of rehearsals left to go and I've never seen a room take off like that: those Kneehigh clowns, their love spotters were a thing of absolutely, unstoppable, instinctive wonder and that never, ever changed.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFKQ,,,,"Tristan & Yseult",,,"Emma Rice",,no
51,"Quote 51",Quote,"""At the time of making the show in the early 2000s...""",,"At the time of making the show in the early 2000s, Emma and I were really into Tarantino and films like Pulp Fiction: bloody good storytelling and great music. This Tristan & Yseult is a Tarantino version of a medieval story.

This show was made to be outdoors. The structure is invented for the outside: the storytelling, dance, action and music are outward facing – the direct, honest acting exemplified by Craig Johnson (as Brangian) in this show is to do with being in daylight and being able to see the audience and then, as darkness falls,letting the fourth wall in and deepening the emotion and sense of tragedy.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFKc,,,,"Tristan & Yseult",,,"Mike Shepherd",,no
52,"Quote 52",Quote,"""The music of John Gay took opera music...""",,"The music of John Gay took opera music, the serious opera, and whilst not mocking it, used it as fuel to comment on the wealthy and to show another side of life. That's what Punch and Judy did:  they literally played outside opera houses. That's why it was seen by Pepys outside Covent Garden. It was at Bartholomew Fair, and it was outside Covent Garden. Punch was Italian. He was more Italian than many of the operas probably were and he was taking the mickey out of the opera and making money out of opera-goers. There was this parallel between what Punch had been doing and what John Gay was doing that felt very historically apt in our use of puppets in Dead Dog in a Suitcase.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFKg,,,,"Dead Dog in a Suitcase",,,"Sarah Wright",,no
53,"Quote 53",Quote,"""One of the things I’m most pleased about with our show...""",,"One of the things I’m most pleased about with our show is that I think we’ve done the original play really well. Alfred Jarry was our spiritual guide. His ground-breaking and highly controversial notions of theatre in his lifetime are absolutely how we think about making theatre with Kneehigh. He hated “realistic” painted backdrops – tropes of the naturalistic style at the time. When he wrote that Ubu enters riding a horse, he says either come in on a REAL horse or, even better, a cardboard one. Cardboard became our lead aesthetic for this show. Throwaway. Hand-made. Cheap. Punky. So on a level, I feel we’ve collaborated well with him and hopefully done his work justice.
I hope there’s something therapeutic about seeing this show. Singing together in protest. Laughing at the buffoon. Weeping for the world. The play is also mad. Absurd. Characters burst into Brittany Spears songs. They have strange dreams. There’s a bear!",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFKk,,,,Ubu,,,"Carl Grose",,no
