Added to DB,object_number,title,format,description,subheadline,text,google_drive_link,video_url,sound_url,external_url,production,photographer_credit,date,people,tags,is_featured
,11,Quote,Quote,"""Don’t labour your ideas...""",,"Don’t labour your ideas. Ideas come easy and Emma always said that bad ones (ideas) usually take care of themselves (by dropping away). Be brave. Be present and respond. Be intellectual when you need to be but don’t overdo it, silliness can be the most poignant heartbreaker.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFC0,,,,Miscellaneous,,,Ian Ross,,no
,12,Quote,Quote,"""When you're devising, you are going to create a fair bit of chaos.""",,"When you're devising, you are going to create a fair bit of chaos.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFDM,,,,Miscellaneous,,,Mike Shepherd,,no
,13,Quote,Quote,"""We talked a lot about archetypes...""",,"We talked a lot about archetypes, which is where mask work would come in: through masks you could distill an archetype. Then the real detail of that work was to do contra- archetype, so you could show a victim and a bully at the same time, for example.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFDQ,,,,Miscellaneous,,,Emma Rice,,no
,14,Quote,Quote,"""With the writer or writers, we talk and dream...""",,"With the writer or writers, we talk and dream, we map out the structure and the overall shape of the piece. They go away and write collections of poems or lyrics or ideas. Each writer works in a different way but what none of them do is to write a script or a scene in isolation.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFDU,,,,Miscellaneous,,,Emma Rice,,no
,15,Quote,Quote,"""I find Ladybird books quite useful!...""",,"I find Ladybird books quite useful!  Simple books which give you the structure and the story, but they also give you lots of opportunity to open the story up without being consumed by 125 pages of script.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFDY,,,,Miscellaneous,,,Mike Shepherd,,no
,16,Quote,Quote,"""Emma commissioned both me and Carl (Grose) for Tristan and Yseult...""",,"Emma commissioned both me and Carl (Grose) for Tristan and Yseult, writing a series of poems and dialogues, rather than a full script. She said, “Anna, I want you to write the voice of the unloved and the tragic lovers and Carl the voice of the court”, which was in iambic pentameter.  I wrote for the Love Spotters and Whitehands and Brangian, and Carl wrote King Mark and Frocin. Sometimes we overlapped. My references for that included a lot of film references that Emma had, but there was also the scandal about  Monica Lewinsky and Bill Clinton happening, so I wrote about the corridors of power. ",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFDc,,,,Tristan & Yseult,,,Anna Maria Murphy,,no
,17,Quote,Quote,"""At the risk of seeming over-simplistic I always remember...""",,At the risk of seeming over-simplistic I always remember Miss Hibbs even when approaching something as dense as Gunther Grass’s Tin Drum or Shakespeare’s Cymbeline. It helps me understand narrative structure.,https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFDg,,,,"The Tin Drum, Cymbeline",,,Mike Shepherd,,no
,18,Quote,Quote,"""I try to write the bits that come easily first...""",,"I try to write the bits that come easily first, like the best bits: the bits that feel like they're already almost there.  I'll tackle the bits that I can already see. That's quite a good way of playing around with what the story is. You think, “let's try this bit in the middle, and let's try the ending, and then let's try this other idea”. Then you have five minutes of material to start you off.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFDk,,,,Miscellaneous,,,Carl Grose,,no
,19,Quote,Quote,"""In discussions and workshops...""",,"In discussions and workshops, we end up with bits of paper taped, like big PostIt Notes™.  Each bit of paper might be particular images that we like, or  a key moment of the show or story. For example,  there's going to be a butterfly that lands on a flower, because that symbolises how lost she's feeling. You've got all those things, and then you're placing them in different orders. So that kind of level of detail and just sitting at the laptop isn't from the beginning. The  point where you’re sitting at the laptop is when you've got your bits of paper. You’re asking “What is the journey of the characters? What are the scenes that might happen?",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFDo,,,,Miscellaneous,,,Sarah Wright,,no
,20,Quote,Quote,"""A simple game of ‘keepy uppy’ can really help alertness...""",,"A simple game of ‘keepy uppy’ can really help alertness, awareness of the group, sharpen antennae, focus and build ensemble. A good theatre show needs a good team actively practicing these qualities. Know where your teammates are, know where the focus is and always know what the story is otherwise the ball will run into touch.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFDs,,,,Miscellaneous,,,Mike Shepherd,,no
,21,Quote,Quote,"""I find that my brain works really well...""",,"I find that my brain works really well if I butterfly around an idea, and then I tend to land on something which isn't the thing itself, but it gives me a different map. It's what gives you a fresh view, and that personal map is what will make the piece unique. ",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFDw,,,,Miscellaneous,,,Emma Rice,,no
,22,Quote,Quote,"""I think about it a lot in my work...""",,"I think about it a lot in my work, which is that we're all scared all the time. Performing is a really scary thing to do, because you're not just scared, as we all are, but you're doing it in front of an audience that may or may not think you're any good, and have lots of ways of showing you that, whether it's reviews or clapping or leaving at the interval. So it's really, really scary. And then what happens when we're scared is, we hold on to what we think is our safe place. Of course, that safe place is useless to us as theatre makers, so you have to do a deal with yourself, which is, be scared. It's unavoidable, no amount of controlling or asking questions or buying time is going to get you out of that scary place  so you might as well jump into it. We’d ask ourselves ‘What's the worst that can happen?’ And if the answer wasn't ‘death’, we'd have a go at anything.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFD0,,,,Miscellaneous,,,Emma Rice,,no
,23,Quote,Quote,"""A good way of storytelling is getting an audience...""",,"A good way of storytelling is getting an audience on the edge of their seat going, “Oh my God, what's going on? What's going to happen next?” ",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFD4,,,,Miscellaneous,,,Mike Shepherd,,no
,24,Quote,Quote,"""You can’t rest on what you know....""",,"You can’t rest on what you know, and you can't relax into research. You're sort of dancing at the edge of a precipice all the time, which is what Kneehigh felt like. Kneehigh do no research. There is no psychology. There is no discussion about why, or attempts to piece together any dots of a character’s background. As Nick Darke and Mike (Shepherd) always used to say, everybody's capable of everything.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFD8,,,,Miscellaneous,,,Emma Rice,,no
,25,Quote,Quote,"""I remember Mike Shepherd...""",,"I remember Mike Shepherd telling me that when you’re working outside,  an actor is like a light. If all of the actors are looking at one actor who's in focus at a given moment, that's about the ensemble understanding the story they're telling, beat by beat. An audience will learn from the company where the focus is just as in an indoor theatre, you put a light on someone and the audience will look at them:  but it's a much more interesting kind of light, if it's about the attention of the ensemble connecting with the attention of the audience. I've used that in every piece of work I've ever made.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFEE,,,,Miscellaneous,,,Tom Morris,,no
,26,Quote,Quote,"""I believe that once the body is energised...""",,I believe that once the body is energised and the blood is oxygenated then creativity comes to the fore.,https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFEM,,,,Miscellaneous,,,Mike Shepherd,,no
,27,Quote,Quote,"""If you're making a piece of theatre...""",,"If you're making a piece of theatre, you're asking the audience to engage their imagination anyway. A puppet is part of the imagined world created by the performance. A puppet guides our imagination and lets us into that world. We're storytellers. A puppet is play and a puppet is make-believe. It's a vital part of creating an imaginary space, and what can happen in that imaginary space. We're not trying to replicate real life. We're telling stories.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFEg,,,,Miscellaneous,,,Sarah Wright,,no
,28,Quote,Quote,"""In Ubu, Ma and Pa Ubu sail away in a boat...""",,"In Ubu, Ma and Pa Ubu sail away in a boat. The boat is one of my favourite props ever. It's two flat bits of cardboard on two poles that are folded around Ma and Pa and it just looks like the flat side of a boat. There's then a moment where Ubu breaks out of the boat, and the sides of the boat become wings. She's suddenly got two massive cardboard wings. The wings are created from the boat. So there's no puppet, but the puppetry in that moment is absolutely brilliant. One minute you've got a very simple, cut out cardboard boat, and the next minute, there are wings and that boat has taken you to the clouds.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFFA,,,,Ubu,,,Sarah Wright,,no
,29,Quote,Quote,"""In terms of a process for the baby puppets in Dead Dog in a Suitcase...""",,"In terms of a process for the baby puppets in Dead Dog in a Suitcase was that Sarah and Lyndie (Wright) whipped up some prototypes which were brilliant, and we just spent an afternoon playing with them. That informed so much of the actual writing and what the babies did and how they spoke and how they sang.  That's always a really fun thing to do,  before rehearsals even begin: Just have some prototypes and play. ",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFFI,,,,Dead Dog in a Suitcase,,,Carl Grose,,no
,30,Quote,Quote,"""If you're testing a story out...""",,"If you're testing a story out, you might make a shadow play of it. This is a great thing for teachers and for students, because a shadow play is a play without words. You're making a storyboard, but you're using a shadow play to do it. If you can tell the story through shadow puppets, you know you can turn it out in the outdoor landscape: it doesn't need explaining. In a classic shadow play, you don't have any text. You can use music and sound, but you don't tell the story, you show it. ",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFFM,,,,Miscellaneous,,,Sue Hill,,no
,31,Quote,Quote,"""Don’t labour your ideas...""",,"Don’t labour your ideas. Ideas come easy and Emma always said that bad ones (ideas) usually take care of themselves (by dropping away). Be brave. Be present and respond. Be intellectual when you need to be but don’t overdo it, silliness can be the most poignant heartbreaker. ",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFFQ,,,,Miscellaneous,,,Ian Ross,,no
,32,Quote,Quote,"""Bill (Mitchell) was a really great visual director....""",,"Bill (Mitchell) was a really great visual director, and his work was so visual. His designs weren’t just making sets for people to act in front of. They were playgrounds.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFFU,,,,Miscellaneous,,,Sue Hill,,no
,33,Quote,Quote,"""We would try not to rehearse indoors too much...""",,"We would try not to rehearse indoors too much, because  if you stay indoors, you start talking your ideas out rather than doing them. Try and make the work on your feet. ",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFFY,,,,Miscellaneous,,,Sue Hill,,no
,34,Quote,Quote,"""Audiences are different outside...""",,Audiences are different outside. They become closer to you. You’re sharing the same space. You’re sharing the same view.,https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFFc,,,,Miscellaneous,,,Bill Mitchell,,no
,35,Quote,Quote,"""Months before rehearsals begin....""",,"Months before rehearsals begin, I start work with the creative team. We gaze at books and films, sketch and begin to form a concept; an environment in which the story can live, in which the actors can play. The physical world holds meaning and narrative, it is as much a storytelling tool as the written word. ",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFF8,,,,Miscellaneous,,,Emma Rice,,no
,36,Quote,Quote,"""In 946 - The Amazing Story of Adolphus Tips, the lighting design...""",,"In 946 - The Amazing Story of Adolphus Tips, the lighting design had to be really dynamic in order to tell us where to look, to describe locations theatrically without  naturalism, really defining situations on stage, whilst having an overall aesthetic that was more like a rock gig than most theatre shows.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFGc,,,,946: The Amazing Story of Adolphus Tips,,,Malcolm Rippeth,,no
,37,Quote,Quote,"""In The Flying Lovers of Vitebsk, light created magic.""",,"In The Flying Lovers of Vitebsk, light created magic. ",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFGg,,,,The Flying Lovers of Vitebsk,,,Malcolm Rippeth,,no
,38,Quote,Quote,"""I like to see the workings of theatre...""",,"I like to see the workings of theatre. I like there to be magic as well, where you don't know how that's happened, but I like to see the workings of it too.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFGk,,,,Miscellaneous,,,Mike Shepherd,,no
,39,Quote,Quote,"""When we started thinking about the musical landscape...""",,When we started thinking about the musical landscape of Steptoe and Son we knew we wanted to use music to not just locate us in time but also connect us in memory.,https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFGs,,,,Steptoe and Son,,,Stu Barker,,no
,40,Quote,Quote,"""Live musicians bring an immediacy...""",,Live musicians bring an immediacy. It’s important to place the music and give it its full impact. I’m not  keen on underscoring. A live band adds real power to the live storytelling. Much of Kneehigh’s work has been in epic spaces where dense dialogue is not appropriate. In a way we often work filmically where soundtrack leads the action and text is more minimal.,https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFGw,,,,Miscellaneous,,,Mike Shepherd,,no
,41,Quote,Quote,"""What’s unique about the Kneehigh process is...""",,"What’s unique about the Kneehigh process is that it’s about investment, ownership and generosity. The Barns was the thing for me, how isolated it was, how focused the work was and how the bubble of it came with you on tour around the world.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFG8,,,,Miscellaneous,,,Ian Ross,,no
,42,Quote,Quote,"""Kneehigh already had a kind of a template...""",,"Kneehigh already had a kind of a template, which was like a way of telling stories with their bodies. It became even more important when you took that work outside, we found we could tell stories physically and with music: you still used words, but they weren't carrying the story. They weren't telling people things. You were showing people things, and the music became really important. And of course, Jim Carey was the kind of musician who would write these absolutely divine threads of music, which scored the shows. Quite quickly this kind of physical theatre form developed, which was 
taking the audience on an emotional journey through their eyes as much as through their ears. Then it became even more important. We started to do wild walks and take people on journeys. ",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFHA,,,,Miscellaneous,,,Sue Hill,,no
,43,Quote,Quote,"""I’m a little bit sceptical of original ideas...""",,I’m a little bit sceptical of original ideas...,https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFHM,,,,Miscellaneous,,,Mike Shepherd,,no
,44,Quote,Quote,"""For me, there's an interesting feedback loop with Kneehigh...""",,"For me, there's an interesting feedback loop with Kneehigh. I watched Kneehigh and was influenced by Kneehigh and then wrote my own stuff. Then there's quite possibly my writing influence on Kneehigh. Working with Mike on Dead Dog in a Suitcase, we didn't really discuss the show on a deeper level very often. We spoke more about Breaking Bad, and other things we were watching, reading, stumbling across, everyday inspirations. I’m writing for people I know, we’ve explored stuff together before so there’s a sort of shorthand. ",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFHU,,,,Dead Dog in a Suitcase,,,Giles King,,no
,45,Quote,Quote,"""I just don't think I would have been able...""",,I just don't think I would have been able to make any of the vaguely interesting work that I've been able to make without what I learned from working with Kneehigh. ,https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFHc,,,,Miscellaneous,,,Tom Morris,,no
,46,Quote,Quote,"""King of Prussia was essentially brandy smuggling back...""",,"King of Prussia was essentially brandy smuggling back in the 1800s and it felt very relevant to Kneehigh, because there was a lot of political intrigue, as it were, within the writing of the show, which is Nick Darke in a nutshell. It’s not just about a Poldark-style show about brandy smuggling. There's a lot more to it with references to modern politics and that side of it. It felt very poignant for us to do it.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFHg,,,,The King of Prussia,,,Giles King,,no
,47,Quote,Quote,"""At the time, I was really inspired by Bruno Bettelheim’s book...""",,"At the time, I was really inspired by Bruno Bettelheim’s book, The Uses of Enchantment (1976). He was a Holocaust survivor, and he had a thesis - which has now been discredited - that fairy stories are therapeutic: we tell them, and they come to us at times when we need them. I was interested in the trauma that Bruno Bettelheim had felt in the camps, and the thought that stories might actually be plugging into something really dark.  I felt that The Red Shoes was really dark, and my process and my mind was much less formed than it is now, but in many ways, it was all the richer for it. But I knew that I wanted all the storytellers to have shaved heads, and I knew that I wanted them in underwear, and I knew that I wanted them in clogs, and I knew that I wanted my storyteller to be  this amazing drag queen, Lady Lydia…. and that underneath she was the same: that the wig would come off and there'd be a shaved head underneath.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFHo,,,,The Red Shoes,,,Emma Rice,,no
,48,Quote,Quote,"""The show was created in the early days...""",,"This show was created in the early days of Emma and Stu Barker’s working relationship and was mainly soundtracked: Wagner, Offenbach, Jurassic Five etc. The production was managed by the uber-efficient Alex Wardle at the start of his five-year stay with Kneehigh. It was an extraordinary, brave and distinctive show which was coolly reviewed by Kneehigh faithful, but subsequently really took off and heralded the brilliant new era of Emma Rice’s directing.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFiVkqso,,,,The Red Shoes,,,Mike Shepherd,,no
,49,Quote,Quote,"""The chorus in The Red Shoes were a chorus...""",,"The chorus in The Red Shoes were a chorus who’d seen things we should never have seen and done things we should never have done. We mingled with the audience. Before we started, we were barefoot, and we were just in underwear, and the first thing that we did when we went on stage was to very carefully wash and dry our feet.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFJ8,,,,The Red Shoes,,,Mike Shepherd,,no
,50,Quote,Quote,"""I just thought, I wonder what happens if the Chorus...""",,"I just thought, I wonder what happens if the Chorus are  like bird watchers but they’re looking at love? I remember suggesting  everybody put on a funny balaclava and anoraks and start looking for signs of love, and I swear by that point, there was only three weeks of rehearsals left to go and I've never seen a room take off like that: those Kneehigh clowns, their love spotters were a thing of absolutely, unstoppable, instinctive wonder and that never, ever changed.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFKQ,,,,Tristan & Yseult,,,Emma Rice,,no
,51,Quote,Quote,"""At the time of making the show in the early 2000s...""",,"At the time of making the show in the early 2000s, Emma and I were really into Tarantino and films like Pulp Fiction: bloody good storytelling and great music. This Tristan & Yseult is a Tarantino version of a medieval story.

This show was made to be outdoors. The structure is invented for the outside: the storytelling, dance, action and music are outward facing – the direct, honest acting exemplified by Craig Johnson (as Brangian) in this show is to do with being in daylight and being able to see the audience and then, as darkness falls,letting the fourth wall in and deepening the emotion and sense of tragedy.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFKc,,,,Tristan & Yseult,,,Mike Shepherd,,no
,52,Quote,Quote,"""The music of John Gay took opera music...""",,"The music of John Gay took opera music, the serious opera, and whilst not mocking it, used it as fuel to comment on the wealthy and to show another side of life. That's what Punch and Judy did:  they literally played outside opera houses. That's why it was seen by Pepys outside Covent Garden. It was at Bartholomew Fair, and it was outside Covent Garden. Punch was Italian. He was more Italian than many of the operas probably were and he was taking the mickey out of the opera and making money out of opera-goers. There was this parallel between what Punch had been doing and what John Gay was doing that felt very historically apt in our use of puppets in Dead Dog in a Suitcase. ",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFKg,,,,Dead Dog in a Suitcase,,,Sarah Wright,,no
,53,Quote,Quote,"""One of the things I’m most pleased about with our show...""",,"One of the things I’m most pleased about with our show is that I think we’ve done the original play really well. Alfred Jarry was our spiritual guide. His ground-breaking and highly controversial notions of theatre in his lifetime are absolutely how we think about making theatre with Kneehigh. He hated “realistic” painted backdrops – tropes of the naturalistic style at the time. When he wrote that Ubu enters riding a horse, he says either come in on a REAL horse or, even better, a cardboard one. Cardboard became our lead aesthetic for this show. Throwaway. Hand-made. Cheap. Punky. So on a level, I feel we’ve collaborated well with him and hopefully done his work justice.
I hope there’s something therapeutic about seeing this show. Singing together in protest. Laughing at the buffoon. Weeping for the world. The play is also mad. Absurd. Characters burst into Brittany Spears songs. They have strange dreams. There’s a bear!",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFKk,,,,Ubu,,,Carl Grose,,no
,54,Quote,Quote,"""I always work around an idea...""",,"I always work around an idea. If you know you love it, that's in the bank. Think round it. What does it make you think of? What were the things that were swirling around in your mind? With Brief Encounter I spent the first weeks reading Noel Coward's poetry. I was finding out about these bawdy songs that he was writing, getting my brain completely spinning with this amazing material and that was when I thought, ‘I'm going to put these songs into it’. 

Much of my work and life had been inspired and informed by folk tales. I realised really early on that I felt Laura was like a Selkie and in one of the Selkie stories that she was like the seal woman. She absolutely loved her husband, but actually was not in her natural environment which, of course, is such an amazing feminist, ancient trope to explore. So again, I did what I often do - I just laid the Selkie story across the top. That's where a lot of the film images came in such as the film of her underwater: that was where she  was at her happiest and most natural. She finds herself in this seemingly happy world, but  can barely breathe in it. I loved that it told me which poems to use. ",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFKw,,,,Brief Encounter,,,Emma Rice,,no
,55,Quote,Quote,"""Ideas are everywhere""",,Ideas are everywhere,https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFL8,,,,Miscellaneous,,,Mike Shepherd,,no
